player_id,name,date_of_birth,country_of_citizenship,foot,height_in_cm,sub_position,current_club_id,contract_expiration_date,market_value_in_eur,url
1001,Théo Marchand,2003-06-15,France,right,178,Left Winger,583,2027-06-30,55000000,https://example.invalid/player/1001
1002,Luca Bianchi,2002-06-15,Italy,left,175,Left Winger,800,2026-06-30,28000000,https://example.invalid/player/1002
1003,Diego Ferrer,2004-06-15,Spain,right,176,Right Winger,418,2028-06-30,70000000,https://example.invalid/player/1003
1004,Marcus Vale,2002-06-15,England,left,179,Right Winger,11,2027-06-30,45000000,https://example.invalid/player/1004
1005,Rui Salgado,2003-06-15,Portugal,right,174,Right Winger,383,2026-06-30,22000000,https://example.invalid/player/1005
1006,Anton Keller,2003-06-15,Germany,right,182,Second Striker,72,2027-06-30,20000000,https://example.invalid/player/1006
1007,Nikola Petrov,2002-06-15,Serbia,left,183,Second Striker,1041,2027-06-30,26000000,https://example.invalid/player/1007
1008,Erik Sandberg,2002-06-15,Sweden,right,186,Centre-Forward,631,2027-06-30,24000000,https://example.invalid/player/1008
1009,Tomás Reis,2003-06-15,Portugal,right,184,Centre-Forward,383,2026-06-30,18000000,https://example.invalid/player/1009
1010,Youssef Amrani,2002-06-15,Morocco,left,187,Centre-Forward,1049,2027-06-30,35000000,https://example.invalid/player/1010
1011,Jack Whitmore,2003-06-15,England,right,188,Centre-Forward,399,2026-06-30,12000000,https://example.invalid/player/1011
1012,Mateo Ricci,2003-06-15,Italy,right,181,Defensive Midfield,5,2028-06-30,30000000,https://example.invalid/player/1012
1013,Pau Vidal,2002-06-15,Spain,right,179,Defensive Midfield,1049,2026-06-30,19000000,https://example.invalid/player/1013
1014,Lars Eriksen,2003-06-15,Denmark,left,183,Defensive Midfield,234,2027-06-30,14000000,https://example.invalid/player/1014
1015,Ismael Traoré,2003-06-15,France,right,180,Central Midfield,826,2027-06-30,33000000,https://example.invalid/player/1015
1016,Ben Hartley,2004-06-15,England,right,178,Central Midfield,631,2028-06-30,48000000,https://example.invalid/player/1016
1017,Karim Nasser,2002-06-15,Algeria,right,182,Defensive Midfield,826,2027-06-30,21000000,https://example.invalid/player/1017
1018,Felix Braun,2004-06-15,Germany,right,185,Defensive Midfield,27,2028-06-30,26000000,https://example.invalid/player/1018
1019,Andrés Molina,2004-06-15,Spain,right,177,Central Midfield,418,2028-06-30,40000000,https://example.invalid/player/1019
1020,Stefan Vermeulen,2003-06-15,Belgium,left,180,Central Midfield,234,2027-06-30,15000000,https://example.invalid/player/1020
1021,Owen Clarke,2003-06-15,Scotland,right,181,Defensive Midfield,399,2025-06-30,8000000,https://example.invalid/player/1021
1022,Viktor Holm,2000-06-15,Norway,right,179,Left Winger,1041,2026-06-30,9000000,https://example.invalid/player/1022
1023,Sekou Diallo,2003-06-15,Mali,,,Centre-Forward,,,,https://example.invalid/player/1023
1024,Daniel Novak,2003-06-15,Czechia,right,190,Centre-Back,72,2027-06-30,16000000,https://example.invalid/player/1024
